model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
10,2020,54990,2,2137,2,135,5.5,2
2,2013,8492,1,73428,0,20,68.9,2
4,2019,37540,0,4562,0,145,60.1,3
9,2019,29970,0,3760,1,145,36.2,2
0,2019,29680,0,8388,0,145,48.7,2
9,2019,31980,0,4804,1,145,34,2
4,2019,29140,2,1499,1,145,47.9,2
3,2019,33230,2,6427,1,145,44.8,2
1,2019,24110,2,4348,0,145,49.6,2
2,2019,32550,0,10984,0,145,49.6,2
2,2017,19082,2,31144,0,145,62.8,2
1,2019,20896,0,15462,0,145,67.3,2
14,2019,62990,2,2137,0,145,33.6,3
0,2019,18840,2,10000,1,145,54.3,1.5
12,2019,46440,2,1438,0,145,37.7,3
2,2019,25940,2,7821,0,145,53.3,2
13,2020,52990,2,3200,0,145,34.9,3
4,2019,26980,0,105,1,145,50.4,2
2,2019,37940,2,1581,1,145,34.9,3
9,2020,33940,0,2182,1,145,34,2
1,2019,20480,0,8719,0,145,52.3,2
2,2019,26998,2,12327,0,145,48.7,2
4,2018,23998,2,31649,0,145,45.6,2
2,2018,15901,1,13759,1,150,52.3,1.5
12,2017,26822,0,25288,0,145,50.4,2
8,2017,19912,2,25917,0,125,57.6,2
0,2019,21116,2,6742,0,145,65.7,2
8,2014,12702,0,28375,0,160,52.3,2
10,2014,15112,2,69382,0,145,54.3,2
11,2019,35109,2,509,0,145,42.8,2
12,2016,28172,0,69798,0,200,47.1,3
8,2016,19391,2,20761,0,125,60.1,2
1,2017,16172,1,13357,0,20,74.3,1.5
1,2020,23990,2,10,1,150,39.2,1.5
9,2020,24490,2,1,0,145,52.3,2
0,2019,18498,1,10624,0,145,65.7,2
2,2019,16698,1,12824,0,150,67.3,2
10,2018,34990,2,16202,1,145,34.5,3
2,2019,28980,2,5441,1,145,41.5,2
2,2019,30690,0,4404,0,145,50.4,2
4,2018,22912,2,16530,0,145,68.9,2
0,2018,23052,2,19959,1,145,39.8,3
3,2019,29540,2,14137,0,145,49.6,3
2,2019,36740,0,4137,1,145,39.8,2
8,2016,19752,2,18326,0,125,57.6,2
12,2019,54550,0,8143,0,145,37.7,3
0,2019,19798,2,16406,0,150,67.3,2
2,2019,22998,2,20175,0,145,60.1,2
4,2014,15995,2,28500,0,160,51.4,3
8,2015,16250,2,46216,0,125,57.6,2
3,2016,20681,2,12531,1,145,48.7,2
1,2017,21862,2,29150,1,200,39.8,3
0,2017,19761,2,39681,1,200,39.8,3
8,2016,19572,2,32603,0,125,60.1,2
9,2018,32012,2,12652,0,145,58.9,2
2,2017,17701,2,51983,0,145,62.8,2
3,2015,15331,1,21324,1,200,39.8,2
12,2016,41211,2,46180,1,570,25.4,4.4
8,2016,18761,2,16755,0,145,55.4,2
12,2016,27852,0,57501,2,0,85.6,2
0,2019,14498,1,15598,0,150,72.4,1.5
0,2014,8310,1,80664,0,30,64.2,2
0,2017,15490,1,25763,1,145,46.3,2
2,2014,11180,0,60015,0,30,62.8,2
10,2015,19370,2,41312,0,145,54.3,2
8,2016,19158,0,13090,1,160,44.8,2
12,2015,24250,0,42966,0,200,47.1,3
12,2016,31990,0,47814,0,240,42.8,3
0,2019,18499,2,748,0,150,70.6,2
2,2016,17980,2,33475,0,30,64.2,2
9,2020,26780,2,1500,0,145,61.4,2
1,2019,18880,1,6225,1,145,52.3,1.5
10,2019,31780,2,7281,0,145,54.3,2
0,2019,17980,1,8159,0,145,70.6,1.5
2,2019,27440,2,4376,1,145,42.2,2
4,2019,26850,2,7079,0,145,65.7,2
1,2019,18950,1,6311,1,145,42.8,1.5
2,2019,23980,2,1489,1,145,47.9,2
2,2019,24450,2,9522,0,145,62.8,2
3,2017,19000,2,26289,1,145,48.7,2
0,2017,18390,0,4237,1,145,54.3,1.5
2,2016,17998,2,23106,2,0,134.5,2
9,2020,29990,2,5,1,145,42.8,1.5
17,2020,45990,2,6,1,145,34,3
10,2015,19990,2,53700,0,145,54.3,2
1,2018,31990,2,99,1,145,38.2,3
8,2019,23980,1,2953,1,145,51.4,1.5
0,2016,11499,2,46327,0,0,78.5,1.5
0,2017,14999,1,32082,0,145,70.6,1.5
2,2015,10999,0,90018,0,20,70.6,2
0,2018,12291,1,45228,0,145,72.4,1.5
0,2016,14830,2,18095,0,30,65.7,2
0,2016,12760,1,27759,0,30,65.7,2
0,2013,7131,1,73919,0,30,65.7,2
3,2019,24975,2,5866,0,145,65.7,2
4,2019,26350,2,3623,0,145,65.7,2
0,2016,12475,1,17550,1,30,56.5,1.5
0,2019,23780,2,5939,1,145,40.4,1.5
2,2019,24990,1,4850,0,145,64.2,2
1,2019,21945,2,10086,1,145,47.9,2
8,2013,12490,1,33584,0,165,51.4,2
2,2016,14990,1,33201,1,150,48.7,2
8,2016,17998,2,38565,0,145,55.4,2
1,2018,17498,2,18970,1,145,51.4,1.5
4,2015,16998,2,31322,0,145,53.3,3
2,2015,16298,2,22867,0,145,56.5,3
2,2019,24498,2,14897,0,145,52.3,2
1,2020,21890,2,11,1,145,50.4,1.5
1,2020,22980,1,10,1,145,47.1,1.5
3,2020,26990,2,5,0,145,65.7,2
5,2020,36850,2,6,0,145,53.3,3
4,2020,26990,2,13,1,145,50.4,2
0,2016,12990,1,22700,0,20,72.4,1.5
0,2016,12990,2,25843,1,30,55.5,1.5
0,2016,19290,2,32233,1,200,39.8,3
1,2019,23480,1,1500,1,145,42.8,1.5
4,2019,29980,2,1500,1,145,50.4,2
3,2019,30980,2,2649,1,145,41.5,3
2,2019,31450,2,4460,1,145,40.9,2
2,2019,24990,1,4293,0,145,64.2,2
2,2019,23990,1,5996,0,145,67.3,2
2,2019,29450,2,4250,0,145,53.3,2
4,2019,31875,2,15,1,145,48.7,2
3,2019,23980,2,14,1,145,45.6,2
2,2017,17990,2,28589,0,145,62.8,2
3,2019,29980,2,1737,0,145,53.3,3
2,2020,23990,1,18,0,145,56.5,2
2,2019,28450,2,7350,0,145,48.7,2
4,2019,26350,2,3753,0,145,65.7,2
4,2019,26350,2,7106,0,145,65.7,2
8,2019,25450,2,5269,1,145,40.9,1.5
3,2016,15957,1,33805,0,30,62.8,2
0,2018,15224,1,12102,1,145,37.7,1.5
2,2019,24450,1,2323,0,145,54.3,2
2,2019,24450,1,3340,0,145,54.3,2
4,2020,36850,2,13,2,145,44.8,2
11,2019,37980,2,10797,0,145,40.4,3
17,2019,48940,2,12,1,145,32.5,3
17,2019,41945,2,12,1,145,34,3
11,2019,35480,2,13142,0,145,42.8,2
4,2019,29450,2,5325,0,145,60.1,2
2,2019,29990,2,8235,0,145,48.7,2
2,2019,28450,2,8349,1,145,43.5,2
3,2019,24975,2,5022,0,145,65.7,2
3,2019,24975,2,11736,0,145,65.7,2
4,2020,31990,2,10,1,145,50.4,2
4,2020,32850,2,9,2,145,47.9,2
20,2020,35850,2,5,1,145,37.2,2
20,2020,33450,2,5,1,145,38.7,2
2,2020,24490,1,5,0,145,56.5,2
1,2020,22990,1,12,0,145,60.1,2
2,2020,41990,2,9,1,145,34.9,3
8,2019,24980,1,3730,1,145,49.6,1.5
8,2019,28790,2,3740,1,145,44.8,2
1,2019,21945,2,8377,1,145,47.9,2
3,2019,24740,2,11,1,145,48.7,2
4,2015,16990,2,34250,0,30,62.8,2
0,2020,24980,2,5000,1,145,42.8,1.5
3,2016,16730,1,17309,0,30,62.8,2
0,2014,15965,1,30000,1,305,35.3,3
3,2015,17465,2,40500,0,150,55.4,3
1,2018,19240,0,13077,1,145,47.9,2
8,2017,15300,1,55426,0,125,58.9,2
2,2018,18650,2,29751,0,145,60.1,2
8,2013,8562,1,67932,0,165,51.4,2
3,2014,14999,2,15056,1,160,44.8,2
0,2017,14780,1,23552,0,145,72.4,1.5
17,2019,45475,2,24,1,145,34,3
2,2019,31450,2,4568,1,145,41.5,2
0,2019,16950,2,12345,0,145,74.3,2
2,2019,25750,2,12647,0,145,52.3,2
2,2019,25750,2,10568,0,145,52.3,2
12,2019,46950,2,7246,0,145,37.7,3
0,2017,18480,2,14193,1,145,54.3,1.5
4,2019,26350,2,5453,0,145,65.7,2
1,2020,22450,1,10,0,145,64.2,2
2,2020,29990,2,12,0,145,49.6,2
2,2020,23850,2,15,1,145,42.2,2
20,2020,28990,2,5,1,145,38.2,2
3,2020,37450,2,11,0,145,47.9,3
20,2020,30990,2,10,1,145,38.7,2
20,2020,30990,2,12,1,145,38.7,2
2,2017,19895,2,11700,0,145,64.2,2
2,2019,23980,2,4063,0,145,62.8,2
2,2019,29990,1,10,0,145,54.3,2
1,2019,21480,2,1850,1,145,50.4,1.5
15,2019,47980,2,100,1,145,29.1,3
3,2019,22480,2,4020,0,145,60.1,2
1,2019,20980,2,4691,0,145,47.1,2
4,2019,28990,2,5471,1,145,48.7,2
4,2019,31880,2,4669,0,145,60.1,3
2,2019,31450,2,4682,1,145,40.9,2
1,2019,23975,1,10,0,145,60.1,2
1,2019,23940,2,9,0,145,62.8,2
4,2019,31875,2,12,1,145,48.7,2
1,2017,19480,2,14612,0,145,55.4,2
0,2016,16280,2,5796,1,125,54.3,1.5
3,2019,26950,2,500,0,145,65.7,2
2,2017,17980,2,13350,1,145,51.4,2
9,2019,44980,2,500,0,145,58.9,2
3,2019,25990,2,11,0,145,58.9,2
2,2019,24990,1,4229,0,145,64.2,2
8,2017,21250,2,17961,1,165,44.8,2
1,2017,21000,2,29484,1,145,39.8,3
10,2019,31000,2,6981,1,145,30.4,2
3,2019,25000,2,8592,0,145,65.7,2
2,2019,20900,2,30243,1,145,48.7,2
10,2018,30000,2,71587,0,145,54.3,2
0,2016,11250,1,35447,0,20,68.9,2
4,2014,12891,2,72000,0,125,57.6,2
3,2017,15991,2,37847,0,150,65.7,2
1,2016,16195,0,23594,2,0,141.2,1.5
8,2016,17980,2,39004,1,160,44.8,2
3,2018,20991,1,11455,1,150,46.3,2
5,2014,17791,2,45012,0,165,49.6,3
0,2015,11711,1,40560,0,125,57.6,2
6,2016,23995,2,23600,1,200,41.5,3
3,2016,15650,1,34236,1,160,46.3,2
0,2017,14397,1,9243,1,145,52.3,1.5
0,2017,11650,1,29116,0,145,83.1,1.5
0,2017,14420,1,17357,0,20,70.6,1.5
3,2018,21980,2,10146,0,145,65.7,2
6,2019,50980,2,7606,0,145,44.8,3
8,2019,25745,2,4928,0,145,60.1,2
3,2020,32950,2,10,1,145,41.5,3
3,2020,27950,2,10,1,145,45.6,2
3,2020,27950,1,10,0,145,62.8,2
3,2020,26950,2,10,1,145,48.7,2
0,2016,13984,1,15445,1,125,52.3,1.5
4,2016,14280,0,52889,0,30,62.8,2
2,2016,12600,1,19800,1,125,52.3,1.5
2,2015,13391,1,62354,0,125,58.9,2
10,2017,23991,2,17205,0,150,54.3,2
2,2015,11491,1,55700,0,125,60.1,2
12,2019,47480,2,5209,0,145,37.7,3
4,2015,12393,2,80582,0,30,62.8,2
22,2016,19490,0,8421,2,0,470.8,0
1,2015,13521,2,55001,0,20,68.9,2
0,2017,14995,1,13472,0,145,65.7,2
2,2018,19498,2,32723,1,150,48.7,2
3,2018,23798,2,8781,0,145,55.4,3
1,2019,19741,1,4500,1,150,52.3,1.5
0,2017,20491,1,12000,1,150,36.2,3
0,2016,18991,2,16279,1,240,37.7,3
0,2015,13091,1,35000,0,30,65.7,2
0,2018,14491,2,28542,0,150,48.7,1.5
8,2018,21991,2,27713,0,150,60.1,2
6,2014,14798,2,60697,0,160,50.4,3
2,2016,16498,2,22489,2,0,148.7,2
2,2015,13798,2,59936,0,125,58.9,2
0,2016,14195,2,38094,0,30,65.7,2
3,2020,42194,2,101,1,145,39.2,3
4,2016,17330,2,31570,0,30,62.8,2
0,2016,13250,1,26625,1,125,53.3,1.5
1,2016,17699,2,32746,1,265,37.2,3
3,2020,36902,2,101,0,145,58.9,2
9,2020,28279,2,101,0,145,50.4,2
9,2020,30413,2,101,1,145,39.2,2
0,2020,31016,2,101,0,145,48.7,2
17,2020,51402,2,101,1,145,34,3
2,2020,35158,2,101,0,145,48.7,2
2,2020,36402,2,101,1,145,40.4,2
20,2020,37975,2,101,1,145,38.7,2
2,2019,21000,2,10959,0,145,64.2,2
4,2018,29500,2,9629,0,145,56.5,3
12,2016,26520,0,59000,0,200,47.1,3
2,2018,19992,2,32456,0,145,62.8,2
1,2017,21012,2,36367,1,200,39.8,3
1,2017,21726,2,24442,1,145,39.8,3
0,2016,13158,2,31218,0,20,70.6,2
4,2015,15189,2,54636,0,125,60.1,2
0,2016,12741,1,42500,0,20,68.9,2
2,2016,19300,2,13500,2,0,134.5,2
10,2019,39991,2,1266,0,145,54.3,2
0,2015,14644,1,31900,0,30,62.8,2
2,2018,21560,2,36646,0,145,53.3,3
10,2015,19498,2,30256,0,145,54.3,2
0,2017,21798,2,12967,1,200,39.8,3
2,2018,20498,2,19620,1,145,48.7,2
2,2016,15498,2,13377,1,125,51.4,2
2,2018,20298,2,26751,1,145,48.7,2
2,2018,20998,2,14486,1,150,48.7,2
11,2019,38000,2,15118,1,150,26.9,3
12,2018,37500,0,6836,0,150,47.1,3
3,2016,18000,0,15788,0,30,65.7,2
12,2019,43750,2,10829,0,145,37.7,3
2,2016,19895,2,26200,0,165,51.4,3
1,2018,17798,2,9816,1,150,38.2,2
2,2017,14595,0,24624,1,145,51.4,2
2,2019,28361,2,13547,1,145,42.2,2
1,2019,27416,2,2171,0,145,64.2,2
4,2017,22850,2,20951,0,125,60.1,2
0,2017,16250,2,35332,0,150,60.1,2
4,2019,40985,2,7998,1,145,50.4,2
9,2019,29000,2,3351,1,145,39.2,2
1,2019,21300,1,2455,0,145,51.4,2
8,2019,31200,2,2517,0,145,36.7,2
20,2019,34890,2,156,1,145,38.7,2
9,2019,33800,2,4291,1,145,34,2
1,2019,21600,1,1455,0,145,51.4,2
2,2019,25330,2,2307,0,145,65.7,2
2,2016,14230,1,57736,1,145,47.9,2
8,2019,30920,1,5234,0,145,68.9,2
3,2018,20750,2,7261,0,145,60.1,2
11,2019,38500,2,10802,0,145,37.2,3
6,2019,48782,2,101,0,145,41.5,3
4,2019,42650,2,101,1,145,50.4,2
2,2016,22500,2,24079,0,205,49.6,3
2,2015,15000,2,47773,0,125,58.9,2
3,2019,24250,0,5758,0,145,65.7,2
2,2019,24000,0,12473,0,145,52.3,2
12,2019,53500,0,6601,0,145,33.6,3
2,2019,27850,0,2965,0,145,52.3,2
2,2018,22900,2,27800,1,145,48.7,2
3,2019,25900,2,12202,1,145,48.7,2
4,2019,42650,2,101,1,145,50.4,2
4,2019,42400,2,101,1,145,50.4,2
6,2019,50390,2,2218,1,145,33.6,3
6,2019,46500,2,6249,0,145,42.2,3
2,2019,23298,2,15221,0,145,62.8,2
8,2016,14998,1,52422,0,125,58.9,2
8,2017,21350,0,17877,0,145,60.1,2
1,2019,21500,1,6649,1,145,42.2,1.5
6,2019,52900,2,2919,0,145,41.5,3
2,2018,21397,2,5034,0,145,62.8,2
1,2019,26991,1,103,0,145,51.4,2
1,2019,27990,2,1614,0,145,49.6,2
1,2019,28361,2,101,1,145,50.4,2
2,2016,13298,2,62655,0,30,64.2,2
3,2016,19444,2,55297,0,160,50.4,3
8,2017,21250,2,17962,1,165,44.8,2
4,2017,26500,0,17766,0,145,60.1,3
1,2018,19000,2,9641,1,145,38.2,2
2,2019,26750,2,4327,0,145,53.3,3
2,2018,19900,2,12030,0,145,64.2,2
2,2017,14558,2,28487,1,125,54.3,1.5
8,2016,16650,2,27843,0,30,65.7,2
2,2019,37991,2,7447,1,150,34.9,3
12,2017,33991,0,32771,0,145,47.1,3
11,2019,38500,2,12733,0,150,37.2,3
1,2017,16991,1,20626,0,30,62.8,2
16,2017,37591,2,15770,1,305,34,3
14,2019,65050,2,3192,0,145,33.6,3
4,2019,28800,2,5360,0,145,65.7,2
2,2019,29480,2,2228,0,145,52.3,2
0,2019,16980,1,12,0,145,68.9,2
3,2019,24785,2,2924,1,145,48.7,2
3,2016,18490,2,38692,0,30,65.7,2
2,2018,19490,2,28816,1,150,48.7,2
2,2019,26260,2,14612,1,145,41.5,3
12,2016,30991,0,14286,0,200,47.1,3
2,2015,14531,2,41330,0,125,61.4,2
12,2017,37500,0,11261,0,145,42.8,3
1,2017,17858,0,28561,2,0,135.5,1.5
6,2016,29240,2,20619,0,145,54.3,3
0,2017,19991,1,20302,1,145,36.2,3
2,2019,27480,1,18,0,145,54.3,2
3,2019,29840,2,6011,0,145,60.1,2
1,2019,21480,1,3347,0,145,61.4,2
1,2019,19980,1,1900,1,145,42.8,1.5
1,2019,19980,1,10,1,145,42.8,1.5
8,2019,25780,2,4224,0,145,60.1,2
2,2019,27480,1,4398,0,145,54.3,2
1,2020,21890,2,11,1,150,50.4,1.5
2,2019,26498,2,17794,0,145,48.7,2
0,2016,11491,1,36200,0,0,83.1,1.5
0,2013,15991,2,50039,1,235,37.7,3
2,2015,15991,2,48000,0,150,53.3,3
4,2018,29991,2,12000,0,150,60.1,3
3,2015,15991,1,28000,1,165,44.8,2
10,2019,33990,2,3440,0,150,54.3,2
10,2019,38990,2,5656,0,150,36.7,3
2,2020,30940,2,1586,0,150,50.4,2
1,2019,22990,1,8567,0,150,51.4,2
0,2020,29950,2,3422,0,150,48.7,2
2,2017,20990,2,6971,0,125,60.1,2
8,2017,19990,2,18754,0,150,65.7,2
20,2020,33850,2,5,1,150,38.7,2
2,2014,13990,2,29046,0,30,62.8,2
1,2017,18990,2,31208,0,150,65.7,2
17,2020,48950,2,17,1,150,32.5,3
4,2020,26990,2,14,1,150,50.4,2
1,2016,14490,2,40115,0,30,64.2,2
2,2015,13990,2,45116,1,150,47.9,2
4,2019,32990,2,4716,0,150,53.3,3
1,2019,20840,2,6050,1,150,50.4,1.5
0,2017,15450,2,19383,0,150,72.4,1.5
0,2017,20990,2,25249,0,150,61.4,2
4,2019,25490,2,5656,1,150,50.4,2
2,2019,37490,2,9565,1,150,34.9,3
4,2020,42124,2,101,1,145,39.2,3
13,2016,27750,2,38680,0,200,47.1,3
10,2019,31200,2,17173,1,145,30.4,2
3,2019,34885,2,4883,0,145,60.1,2
0,2019,32760,2,2690,1,145,34.5,2
3,2019,22690,2,4940,0,150,65.7,2
3,2019,22490,2,7949,0,150,65.7,2
10,2020,32490,2,6565,0,150,54.3,2
1,2018,18990,2,13600,1,150,38.2,2
2,2017,20030,2,44751,1,145,48.7,2
3,2017,20385,2,19221,0,145,65.7,2
2,2018,21420,2,21328,0,145,60.1,2
3,2016,19972,2,15705,1,145,48.7,2
3,2018,21216,2,11685,0,145,65.7,2
2,2019,20298,1,6018,0,145,64.2,2
3,2019,32087,2,1678,0,145,65.7,2
10,2019,34991,2,2549,0,145,54.3,2
2,2016,16200,2,17252,0,30,62.8,2
11,2020,49481,2,101,0,145,37.2,3
11,2020,41904,2,101,0,145,42.8,2
0,2020,26991,2,5,1,145,40.4,1.5
2,2017,17991,2,48356,0,30,64.2,2
3,2019,21990,2,9654,0,150,65.7,2
3,2019,24490,1,9232,1,150,42.8,2
3,2019,23490,2,8175,0,150,65.7,2
9,2020,34990,2,10,1,150,34,2
20,2020,30990,2,100,1,150,38.7,2
2,2020,28990,2,14,0,150,50.4,2
4,2019,35840,2,11,0,145,53.3,3
3,2015,16990,2,24450,1,205,42.8,2
4,2018,31490,2,11798,1,150,39.2,3
2,2015,16990,2,29706,0,30,62.8,2
0,2017,14950,1,13971,0,150,68.9,2
10,2017,22490,2,13697,0,150,54.3,2
1,2016,14990,2,16685,1,125,53.3,1.5
1,2017,14990,1,14643,1,125,52.3,1.5
14,2020,77990,2,5656,0,150,31.4,3
13,2020,67990,2,5656,0,150,33.2,3
14,2019,77880,2,6506,0,150,31.4,3
4,2020,27990,2,9,1,150,36.2,2
2,2020,24990,2,22,0,150,54.3,2
1,2020,21890,2,10,1,150,50.4,1.5
4,2020,26990,2,6,1,145,52.3,2
2,2017,17490,2,18138,0,145,64.2,2
17,2016,30490,2,38422,1,300,34,3
12,2017,38990,0,19094,0,150,42.8,3
0,2020,23490,1,6565,0,150,53.3,2
1,2020,22990,2,11,1,150,47.9,2
11,2019,36490,2,4068,0,150,40.9,3
0,2019,24490,2,2036,0,150,53.3,2
2,2020,24990,2,16,0,150,54.3,2
4,2020,27990,2,9,2,150,49.6,2
3,2019,28990,2,5656,0,150,50.4,3
11,2019,34990,2,5656,0,150,42.8,2
0,2019,25490,1,10,0,145,53.3,2
4,2019,26350,2,10312,0,145,65.7,2
0,2019,29490,2,7656,1,150,34.5,2
2,2020,30850,2,5656,0,150,48.7,2
1,2019,24990,2,10,1,145,50.4,2
0,2019,24450,1,10,1,145,41.5,1.5
14,2020,63990,2,6137,0,145,33.6,3
20,2020,29990,2,4646,1,145,38.7,2
3,2019,27890,2,2476,1,145,48.7,2
9,2019,28490,2,2949,0,145,61.4,2
3,2019,26490,2,1652,1,145,45.6,2
3,2019,25850,2,2146,0,145,65.7,2
3,2019,25850,2,1980,0,145,65.7,2
1,2019,22650,1,100,0,145,61.4,2
4,2018,22600,2,14102,0,145,68.9,2
8,2016,13991,1,46424,0,125,60.1,2
2,2019,23980,2,4628,0,145,62.8,2
4,2020,29990,2,10,1,145,50.4,2
9,2020,23450,1,15,0,145,55.4,2
3,2020,25980,1,14,1,145,46.3,2
0,2020,20490,1,6262,1,145,44.1,1.5
2,2020,28990,2,5656,0,145,52.3,2
2,2020,30490,2,6565,0,145,50.4,2
2,2020,32790,2,5656,0,145,47.9,3
0,2020,30990,2,5656,1,145,34.5,2
2,2020,33990,2,5665,1,145,40.4,2
3,2019,23450,2,6900,0,145,65.7,2
6,2016,32990,2,21224,1,300,35.3,4.4
1,2015,17261,1,25637,1,300,34.9,3
11,2019,36750,2,15508,0,145,40.9,3
8,2016,17700,2,37326,0,125,57.6,2
0,2017,22991,2,15709,1,145,39.8,3
11,2017,25990,2,25357,0,200,47.9,3
3,2018,24800,2,29435,0,145,49.6,3
4,2019,26350,2,4694,0,145,65.7,2
2,2019,28450,2,9809,1,145,43.5,2
4,2019,26350,2,6260,0,145,65.7,2
4,2019,26350,2,9334,0,145,65.7,2
2,2020,28990,2,4,0,145,62.8,2
2,2019,24450,1,4725,0,145,54.3,2
2,2019,27450,2,7827,1,145,43.5,2
6,2019,49990,2,10478,1,145,33.6,3
14,2020,78490,2,4919,0,145,31.4,3
4,2019,26490,2,10656,0,150,65.7,2
4,2019,24397,2,10423,0,145,65.7,2
3,2019,28697,2,4927,0,145,50.4,3
9,2019,29490,2,1155,0,145,61.4,2
0,2019,29950,2,10,0,145,48.7,2
3,2019,25450,2,1678,1,145,48.7,2
14,2020,69990,2,5087,0,145,33.6,3
0,2019,27490,2,2270,0,145,51.4,2
4,2020,34850,2,16,2,145,44.8,2
9,2020,30990,1,6,1,145,42.8,1.5
2,2020,23490,1,15,0,145,58.9,2
10,2017,25990,2,26325,0,200,47.1,3
2,2020,29990,2,9,0,145,50.4,2
2,2020,23990,1,13,0,145,56.5,2
0,2016,18897,2,32632,1,200,39.8,3
2,2019,27997,2,16330,0,145,49.6,3
2,2019,28497,2,9898,0,145,49.6,3
2,2019,24597,2,5574,1,145,48.7,2
1,2018,32271,2,103,0,145,49.6,2
9,2019,32991,2,2899,1,145,39.2,2
1,2019,22991,1,103,1,145,44.1,1.5
9,2018,24530,2,25660,0,145,61.4,2
8,2019,23497,2,105,1,145,37.7,2
1,2019,22490,1,10,1,145,52.3,1.5
0,2019,22490,1,10,1,145,44.1,1.5
0,2019,27990,2,10,0,145,51.4,2
0,2019,23990,1,10,1,145,41.5,1.5
9,2019,26490,2,10,1,145,38.7,2
0,2019,24990,1,10,0,145,53.3,2
0,2016,21990,2,10,0,20,68.9,1.5
0,2016,18990,1,10,0,20,72.4,1.5
2,2019,29990,2,7460,0,145,48.7,2
2,2019,28440,2,8788,0,145,48.7,2
4,2020,32850,2,5,2,145,62.8,2
9,2020,26890,1,9,0,145,53.3,2
4,2020,27990,2,8,2,145,52.3,2
3,2020,33890,2,9,0,145,51.4,3
4,2017,23980,2,29539,0,145,60.1,2
2,2019,30326,2,3392,1,145,41.5,2
20,2020,35850,2,5,1,145,37.2,2
2,2020,22850,2,12,1,145,43.5,2
4,2016,16300,2,21464,0,20,68.9,2
17,2016,31870,2,21533,1,300,34,3
13,2016,32800,2,26615,0,200,44.8,3
12,2017,57990,0,10,0,145,42.8,3
2,2017,35990,2,112,0,145,51.4,3
0,2020,21940,1,514,1,145,44.1,1.5
0,2016,19490,1,10,0,0,78.5,1.5
3,2018,25945,2,20011,1,145,41.5,3
2,2018,22875,2,8973,1,145,47.9,2
1,2019,21945,2,11687,1,145,47.9,2
1,2019,22440,1,10,1,145,52.3,1.5
8,2016,20845,2,17699,1,160,44.8,2
2,2019,31390,2,5029,1,145,40.9,2
2,2019,24990,1,4753,0,145,64.2,2
2,2019,24950,1,3238,0,145,64.2,2
4,2019,30980,2,9709,0,145,56.5,3
2,2019,23790,2,8178,1,145,47.9,2
2,2019,23980,2,2198,1,145,47.9,2
3,2019,24975,2,9533,0,145,65.7,2
1,2018,23110,2,19598,1,145,39.8,3
3,2016,17450,2,27089,0,30,65.7,2
0,2017,22490,2,23120,1,145,39.8,3
1,2015,16000,2,29788,0,30,64.2,2
1,2020,26095,1,101,1,145,52.3,1.5
0,2019,17697,1,3312,1,145,52.3,1.5
12,2017,50990,0,10,0,145,47.1,3
0,2017,24490,1,102,0,145,65.7,2
0,2016,19490,1,10,0,20,72.4,1.5
0,2016,19990,1,10,1,125,53.3,1.5
20,2020,33490,2,10,1,145,38.7,2
8,2020,29450,2,10,0,145,40.9,2
12,2017,51990,0,10,0,200,47.1,3
3,2017,16900,0,19834,0,145,65.7,2
2,2018,15620,1,19281,0,145,60.1,2
1,2020,24475,1,117,0,145,51.4,2
1,2020,23475,2,12,1,145,50.4,1.5
3,2018,22440,2,13673,1,145,48.7,2
8,2019,25450,2,5021,1,145,40.9,1.5
4,2019,36875,2,10,0,145,53.3,3
4,2019,26350,2,9062,0,145,65.7,2
0,2016,20990,1,10,0,20,68.9,2
1,2019,22950,2,11,0,145,64.2,2
1,2019,23890,2,14,0,145,62.8,2
3,2019,33490,2,10,0,145,51.4,3
4,2019,35475,2,15,0,145,53.3,3
2,2019,23775,2,2552,1,145,47.9,2
2,2019,23775,2,2359,1,145,47.9,2
4,2014,12298,2,52598,0,30,62.8,2
0,2019,15995,1,5500,0,145,68.9,2
0,2014,8250,1,67654,0,0,74.3,1.6
2,2014,14894,2,36771,0,125,57.6,3
2,2016,18000,2,29978,0,160,51.4,3
4,2018,27980,2,29482,0,145,53.3,3
3,2016,24980,1,10,1,160,46.3,2
3,2017,41990,0,10,1,200,41.5,3
8,2017,25990,1,10,0,20,68.9,2
8,2017,30980,2,10,1,160,44.8,2
0,2017,19490,1,10,1,125,53.3,1.5
13,2020,49975,2,2950,0,150,34.9,3
1,2019,23975,2,3013,0,150,64.2,2
3,2019,28975,2,3783,0,150,49.6,3
2,2020,32475,2,12,0,145,48.7,2
4,2020,32475,2,12,2,145,49.6,2
2,2020,33475,2,12,0,145,48.7,2
13,2020,54975,2,1075,1,150,26.4,3
9,2018,22470,2,10500,0,145,61.4,2
2,2015,14998,2,81455,0,200,49.6,3
2,2018,21998,2,17810,0,145,60.1,2
2,2018,19498,2,17686,0,145,64.2,2
9,2019,27990,2,10,1,145,38.7,2
12,2017,55990,0,10,0,145,47.1,3
1,2017,21990,1,10,0,145,64.2,2
1,2017,20990,2,10,1,145,52.3,1.5
2,2019,26450,1,3055,0,145,54.3,2
2,2019,26450,1,3093,0,145,54.3,2
8,2017,20375,2,28005,0,125,57.6,2
0,2016,20990,1,10,0,20,68.9,2
3,2019,23450,2,11,0,145,65.7,2
4,2019,35790,2,12,0,145,53.3,3
4,2019,35790,2,12,0,145,53.3,3
